threshold,n_kept,wr,mean_pnl,vs_baseline_delta
0.5,332,0.5090361445783133,-1.6193833433734943,-0.6711550433734941
0.55,292,0.4931506849315068,-1.9898026369863018,-1.0415743369863015
0.6,251,0.4940239043824701,-2.061935258964144,-1.1137069589641437
0.65,204,0.4803921568627451,-2.32103693627451,-1.3728086362745096
0.7,156,0.47435897435897434,-2.507728108974359,-1.5594998089743588
