fold,n_train,n_test,accuracy,auc,precision,recall,baseline_ev,baseline_wr
1,121,120,0.49166666666666664,0.5413888888888888,0.48484848484848486,0.26666666666666666,-0.2942032083333338,0.5
2,241,120,0.5416666666666666,0.48296296296296304,0.625,0.6666666666666666,0.6540516666666663,0.625
3,361,120,0.44166666666666665,0.4092307692307692,0.4375,0.7636363636363637,-2.7498400000000003,0.4583333333333333
4,481,120,0.48333333333333334,0.5268938327231766,0.43661971830985913,0.5849056603773585,-2.145652708333334,0.44166666666666665
5,601,120,0.5,0.5206447963800905,0.5769230769230769,0.4411764705882353,-0.2054972499999998,0.5666666666666667
